,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
10,Speak Now (Taylor's Version),11,12nBPF4Rh4XLFJV0YLN7uj,Innocent (Taylor's Version),spotify:track:12nBPF4Rh4XLFJV0YLN7uj,0.101,0.522,0.598,0.0,0.152,-5.327,0.0284,133.627,0.149,74
11,Speak Now (Taylor's Version),12,4tMzIAFTFdqGBQLdfbPces,Haunted (Taylor's Version),spotify:track:4tMzIAFTFdqGBQLdfbPces,0.00667,0.427,0.915,0.0,0.221,-1.909,0.0619,162.201,0.355,77
12,Speak Now (Taylor's Version),13,59KOoHFcw5XfICnO57holu,Last Kiss (Taylor's Version),spotify:track:59KOoHFcw5XfICnO57holu,0.447,0.55,0.366,4.43e-06,0.101,-8.46,0.0276,79.401,0.16,78
13,Speak Now (Taylor's Version),14,4hqJ4bSlYJOXb6Z4SRmzxs,Long Live (Taylor's Version),spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,0.0122,0.375,0.65,0.0,0.189,-4.031,0.0402,203.89,0.0752,82
14,Speak Now (Taylor's Version),15,3yNJkriPzWjkkDAWHIAVUq,Ours (Taylor’s Version),spotify:track:3yNJkriPzWjkkDAWHIAVUq,0.449,0.535,0.488,0.0,0.111,-8.261,0.0278,159.813,0.348,75
15,Speak Now (Taylor's Version),16,4evLyY5Ue1Wesc61t2KXAU,Superman (Taylor’s Version),spotify:track:4evLyY5Ue1Wesc61t2KXAU,0.0031,0.533,0.742,0.0,0.108,-3.473,0.0303,131.93,0.356,72
16,Speak Now (Taylor's Version),17,4e3ZNTAV6PCrdYMUrUlMpQ,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,0.0164,0.547,0.855,0.0,0.144,-4.7,0.0597,131.073,0.282,79
17,Speak Now (Taylor's Version),18,0zo975x58DlXbZllWvfYhg,When Emma Falls in Love (Taylor’s Version) (From The Vault),spotify:track:0zo975x58DlXbZllWvfYhg,0.159,0.474,0.763,0.0,0.138,-4.632,0.0505,78.133,0.231,79
18,Speak Now (Taylor's Version),19,5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),spotify:track:5kHMfzgLZP95O9NBy0ku4v,0.0586,0.694,0.764,0.0,0.0608,-4.893,0.0337,123.044,0.819,88
19,Speak Now (Taylor's Version),20,4ABYxlb92WBIjHu7TIKmml,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),spotify:track:4ABYxlb92WBIjHu7TIKmml,0.362,0.576,0.57,0.0,0.0668,-7.925,0.0434,147.803,0.378,79
20,Speak Now (Taylor's Version),21,4s8BIKx4Zh6ryAEz8RTlaU,Foolish One (Taylor’s Version) (From The Vault),spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,0.617,0.671,0.588,0.0,0.111,-4.675,0.0299,96.965,0.543,79
21,Speak Now (Taylor's Version),22,1HCdems7PQZRj42QDWLA0A,Timeless (Taylor’s Version) (From The Vault),spotify:track:1HCdems7PQZRj42QDWLA0A,0.3,0.624,0.585,0.0,0.0916,-5.847,0.0328,142.883,0.65,78
22,Midnights (The Til Dawn Edition),1,24emu3sabKISjRkrys28jq,Lavender Haze,spotify:track:24emu3sabKISjRkrys28jq,0.236,0.735,0.454,0.00113,0.133,-10.516,0.0876,97.043,0.0751,69
23,Midnights (The Til Dawn Edition),2,6qxvy9Pe4RJIq5JBVbbwbS,Maroon,spotify:track:6qxvy9Pe4RJIq5JBVbbwbS,0.0609,0.65,0.397,1.4e-06,0.089,-8.237,0.0365,108.055,0.0382,69
24,Midnights (The Til Dawn Edition),3,5qIHFdkW6phMsTZlN2g8Lc,Anti-Hero,spotify:track:5qIHFdkW6phMsTZlN2g8Lc,0.115,0.637,0.649,1.22e-06,0.147,-6.59,0.0584,96.935,0.497,69
25,Midnights (The Til Dawn Edition),4,7GA86Uo2jYbj8vIXe2nyWd,Snow On The Beach (feat. Lana Del Rey),spotify:track:7GA86Uo2jYbj8vIXe2nyWd,0.705,0.653,0.331,0.0013,0.116,-13.534,0.039,110.014,0.166,67
26,Midnights (The Til Dawn Edition),5,6PQOU00xWNrGwCZzboriXy,"You're On Your Own, Kid",spotify:track:6PQOU00xWNrGwCZzboriXy,0.423,0.694,0.386,1.05e-05,0.126,-10.312,0.0597,120.044,0.39,69
27,Midnights (The Til Dawn Edition),6,4eKMqf9ZMSclDX7V9Ptg7x,Midnight Rain,spotify:track:4eKMqf9ZMSclDX7V9Ptg7x,0.705,0.654,0.372,6.78e-05,0.114,-11.704,0.0667,140.15,0.198,69
28,Midnights (The Til Dawn Edition),7,7oomkQSYf1ia2VnVEWfFIU,Question...?,spotify:track:7oomkQSYf1ia2VnVEWfFIU,0.205,0.741,0.509,0.0,0.262,-8.747,0.19,108.978,0.113,67
29,Midnights (The Til Dawn Edition),8,0GKDhq6ZbmSbRHd3eyGlB7,Vigilante Shit,spotify:track:0GKDhq6ZbmSbRHd3eyGlB7,0.157,0.867,0.272,3.42e-05,0.118,-11.014,0.363,79.962,0.157,68
30,Midnights (The Til Dawn Edition),9,0VpF6RLdCfPIeYRwMu4tZK,Bejeweled,spotify:track:0VpF6RLdCfPIeYRwMu4tZK,0.0648,0.695,0.546,0.000128,0.0883,-9.184,0.066,164.0,0.425,68
31,Midnights (The Til Dawn Edition),10,4bBDkw2KBMX0tcgAaXC83Q,Labyrinth,spotify:track:4bBDkw2KBMX0tcgAaXC83Q,0.804,0.493,0.308,0.328,0.123,-15.489,0.0436,109.993,0.13,66
32,Midnights (The Til Dawn Edition),11,45R112Jz5hQeKgITXgSXzs,Karma,spotify:track:45R112Jz5hQeKgITXgSXzs,0.0782,0.647,0.614,0.0,0.611,-7.091,0.0651,90.034,0.0956,68
33,Midnights (The Til Dawn Edition),12,2L09RYwH5Pjzca6PmbUAw3,Sweet Nothing,spotify:track:2L09RYwH5Pjzca6PmbUAw3,0.967,0.335,0.166,0.00012,0.115,-14.958,0.048,175.917,0.391,66
34,Midnights (The Til Dawn Edition),13,1QQii3pa5m8MEda0nbkjfw,Mastermind,spotify:track:1QQii3pa5m8MEda0nbkjfw,0.545,0.661,0.345,0.000915,0.0871,-14.037,0.144,125.977,0.126,67
35,Midnights (The Til Dawn Edition),14,2VuqMjgoKaOHNM8HpxtXKx,The Great War,spotify:track:2VuqMjgoKaOHNM8HpxtXKx,0.203,0.573,0.737,2.78e-05,0.0851,-9.002,0.0352,96.009,0.592,67
36,Midnights (The Til Dawn Edition),15,71CBDRKmF2VeRKYMG1DFBh,Bigger Than The Whole Sky,spotify:track:71CBDRKmF2VeRKYMG1DFBh,0.837,0.48,0.22,0.00269,0.116,-12.469,0.0425,82.951,0.0633,65
37,Midnights (The Til Dawn Edition),16,5tWxKWq1DSP1s9WQ5PWuqu,Paris,spotify:track:5tWxKWq1DSP1s9WQ5PWuqu,0.116,0.691,0.498,3.07e-05,0.136,-10.519,0.101,110.963,0.454,66
38,Midnights (The Til Dawn Edition),17,1SztNGCwEHJEVFx90E5g7D,High Infidelity,spotify:track:1SztNGCwEHJEVFx90E5g7D,0.726,0.564,0.545,0.0,0.0878,-10.17,0.104,176.082,0.766,65
39,Midnights (The Til Dawn Edition),18,7C0w28EsX0Um2FrZs9gso2,Glitch,spotify:track:7C0w28EsX0Um2FrZs9gso2,0.318,0.677,0.451,0.0,0.11,-9.744,0.19,140.845,0.399,64
40,Midnights (The Til Dawn Edition),19,4txojlesMFQZGWxwz2EeqB,"Would've, Could've, Should've",spotify:track:4txojlesMFQZGWxwz2EeqB,0.435,0.482,0.837,0.00147,0.123,-6.501,0.12,157.96,0.534,67
41,Midnights (The Til Dawn Edition),20,10GRRCR5fctuOF4GFmATJI,Dear Reader,spotify:track:10GRRCR5fctuOF4GFmATJI,0.497,0.475,0.386,0.00104,0.119,-12.038,0.0737,107.601,0.162,65
42,Midnights (The Til Dawn Edition),21,3xYJScVfxByb61dYHTwiby,Hits Different,spotify:track:3xYJScVfxByb61dYHTwiby,0.148,0.672,0.782,4.73e-06,0.296,-6.499,0.0421,106.026,0.239,82
43,Midnights (The Til Dawn Edition),22,4zmKGsrXjLmljb5fTaBTot,Snow On The Beach (feat. More Lana Del Rey),spotify:track:4zmKGsrXjLmljb5fTaBTot,0.806,0.664,0.401,3.5e-06,0.108,-10.934,0.0344,109.846,0.315,82
44,Midnights (The Til Dawn Edition),23,4i6cwNY6oIUU2XZxPIw82Y,Karma (feat. Ice Spice),spotify:track:4i6cwNY6oIUU2XZxPIw82Y,0.0623,0.615,0.616,0.0,0.579,-6.523,0.0622,89.977,0.0734,75
45,Midnights (3am Edition),1,4g2c7NoTWAOSYDy44l9nub,Lavender Haze,spotify:track:4g2c7NoTWAOSYDy44l9nub,0.204,0.735,0.444,0.0012,0.17,-10.519,0.0684,97.038,0.0984,72
46,Midnights (3am Edition),2,199E1RRrVmVTQqBXih5qRC,Maroon,spotify:track:199E1RRrVmVTQqBXih5qRC,0.0593,0.658,0.378,0.0,0.0976,-8.3,0.0379,108.034,0.0382,71
47,Midnights (3am Edition),3,02Zkkf2zMkwRGQjZ7T4p8f,Anti-Hero,spotify:track:02Zkkf2zMkwRGQjZ7T4p8f,0.133,0.638,0.634,1.23e-06,0.152,-6.582,0.0457,96.953,0.519,72
48,Midnights (3am Edition),4,6ADDIJxxqzM9LMpm78yzQG,Snow On The Beach (feat. Lana Del Rey),spotify:track:6ADDIJxxqzM9LMpm78yzQG,0.735,0.659,0.323,0.00321,0.116,-13.425,0.0436,110.007,0.154,69
49,Midnights (3am Edition),5,7gVWKBcfIW93YxNBi3ApIE,"You're On Your Own, Kid",spotify:track:7gVWKBcfIW93YxNBi3ApIE,0.416,0.694,0.38,8.47e-06,0.126,-10.307,0.0614,120.044,0.376,71
50,Midnights (3am Edition),6,6Nl7KyvjkFncGsjB49SxLl,Midnight Rain,spotify:track:6Nl7KyvjkFncGsjB49SxLl,0.71,0.636,0.377,6.51e-05,0.115,-11.721,0.0708,139.966,0.23,72
51,Midnights (3am Edition),7,6C7OF1Jal7YkyjzyUG8vkK,Question...?,spotify:track:6C7OF1Jal7YkyjzyUG8vkK,0.226,0.751,0.502,0.0,0.297,-8.777,0.162,108.989,0.112,68
52,Midnights (3am Edition),8,5yeuXkukVGuix3vmLu2BPJ,Vigilante Shit,spotify:track:5yeuXkukVGuix3vmLu2BPJ,0.16,0.87,0.279,1.74e-05,0.121,-11.134,0.364,79.996,0.16,71
53,Midnights (3am Edition),9,0jvo9CjnbR0lYUDTSNTMiu,Bejeweled,spotify:track:0jvo9CjnbR0lYUDTSNTMiu,0.0661,0.7,0.55,0.000102,0.091,-9.13,0.0653,164.003,0.412,72
54,Midnights (3am Edition),10,43q586vP8gGkYypKoSddhl,Labyrinth,spotify:track:43q586vP8gGkYypKoSddhl,0.791,0.487,0.313,0.348,0.124,-15.434,0.0487,110.039,0.141,67
55,Midnights (3am Edition),11,5oqDgw5VGBln5dSIOPWyBq,Karma,spotify:track:5oqDgw5VGBln5dSIOPWyBq,0.074,0.649,0.622,0.0,0.594,-7.054,0.0582,90.024,0.106,75
56,Midnights (3am Edition),12,3zmwONxswBAzGwExPugSLN,Sweet Nothing,spotify:track:3zmwONxswBAzGwExPugSLN,0.967,0.334,0.161,4.71e-05,0.115,-14.875,0.0506,176.747,0.396,69
57,Midnights (3am Edition),13,56hioFjQ0DXrdn04hZcFgG,Mastermind,spotify:track:56hioFjQ0DXrdn04hZcFgG,0.571,0.661,0.352,0.00147,0.0884,-14.077,0.117,125.934,0.13,74
58,Midnights (3am Edition),14,3UMrglJeju5yWyYIW6o99b,The Great War,spotify:track:3UMrglJeju5yWyYIW6o99b,0.219,0.573,0.741,2.23e-05,0.0842,-8.987,0.0353,96.016,0.554,78
59,Midnights (3am Edition),15,0BiqmkasE5FdrChwKfVp8X,Bigger Than The Whole Sky,spotify:track:0BiqmkasE5FdrChwKfVp8X,0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,165.71,0.068,74
60,Midnights (3am Edition),16,7712gjoih4QoDbXpljEk21,Paris,spotify:track:7712gjoih4QoDbXpljEk21,0.112,0.7,0.509,3.27e-05,0.137,-10.547,0.0789,110.947,0.345,73
61,Midnights (3am Edition),17,5kiZGSxgqPdv6rbqL9THdd,High Infidelity,spotify:track:5kiZGSxgqPdv6rbqL9THdd,0.723,0.646,0.529,0.0,0.0885,-10.179,0.0864,87.862,0.755,72
62,Midnights (3am Edition),18,6wAFvJPpTZVirBKGZ4EnMW,Glitch,spotify:track:6wAFvJPpTZVirBKGZ4EnMW,0.361,0.675,0.466,0.0,0.11,-9.738,0.201,140.864,0.347,70
63,Midnights (3am Edition),19,0aV5uARAknQgYhBaK944FP,"Would've, Could've, Should've",spotify:track:0aV5uARAknQgYhBaK944FP,0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,157.979,0.55,76
64,Midnights (3am Edition),20,3QF5RsWzK1lCvf2o2cY65P,Dear Reader,spotify:track:3QF5RsWzK1lCvf2o2cY65P,0.481,0.562,0.388,0.00145,0.117,-12.088,0.0705,107.747,0.159,71
65,Midnights,1,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,85
66,Midnights,2,3eX0NZfLtGzoLUxPNvRfqm,Maroon,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,108.075,0.0374,81
67,Midnights,3,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,92
68,Midnights,4,1wtOxkiel43cVs0Yux5Q4h,Snow On The Beach (feat. Lana Del Rey),spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,79
69,Midnights,5,4D7BCuvgdJlYvlX5WlN54t,"You're On Your Own, Kid",spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,120.041,0.38,84
70,Midnights,6,3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,139.865,0.23,85
71,Midnights,7,0heeNYlwOGuUSe7TgUD27B,Question...?,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.2,0.751,0.502,0.0,0.296,-8.763,0.167,108.943,0.106,75
72,Midnights,8,1xwAWUI6Dj0WGC3KiUPN0O,Vigilante Shit,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.173,0.798,0.277,5.25e-05,0.121,-11.096,0.39,79.846,0.163,81
73,Midnights,9,3qoftcUZaUOncvIYjFSPdE,Bejeweled,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0618,0.696,0.559,5.58e-05,0.0887,-9.19,0.0693,163.999,0.433,84
74,Midnights,10,0A1JLUlkZkp2EFrosoNQi0,Labyrinth,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,110.014,0.122,75
75,Midnights,11,7KokYm8cMIXCsGVmUvKtqf,Karma,spotify:track:7KokYm8cMIXCsGVmUvKtqf,0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,90.02,0.0969,89
76,Midnights,12,0wavGRldH0AWyu2zvTz8zb,Sweet Nothing,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.964,0.337,0.156,7.72e-05,0.115,-14.919,0.0518,176.655,0.39,77
77,Midnights,13,7FmYn9e7KHMXcxqGSj9LjH,Mastermind,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,78
78,Red (Taylor's Version),1,6lzc0Al0zfZOIFsFvBS1ki,State Of Grace (Taylor's Version),spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,0.328,72
79,Red (Taylor's Version),2,4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,81
80,Red (Taylor's Version),3,3S7HNKPakdwNEBFIVTL6dZ,Treacherous (Taylor's Version),spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,73
81,Red (Taylor's Version),4,6AtZLIzUINvExIUy4QhdjP,I Knew You Were Trouble (Taylor's Version),spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,80
82,Red (Taylor's Version),5,3nsfB1vus2qaloUdcBZvDu,All Too Well (Taylor's Version),spotify:track:3nsfB1vus2qaloUdcBZvDu,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,78
83,Red (Taylor's Version),6,3yII7UwgLF6K5zW3xad3MP,22 (Taylor's Version),spotify:track:3yII7UwgLF6K5zW3xad3MP,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,79
84,Red (Taylor's Version),7,2r9CbjYgFhtAmcFv1cSquB,I Almost Do (Taylor's Version),spotify:track:2r9CbjYgFhtAmcFv1cSquB,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,0.248,71
85,Red (Taylor's Version),8,5YqltLsjdqFtvqE7Nrysvs,We Are Never Ever Getting Back Together (Taylor's Version),spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,81
86,Red (Taylor's Version),9,7eQj6r5PIdYKEIZjucBMcq,Stay Stay Stay (Taylor's Version),spotify:track:7eQj6r5PIdYKEIZjucBMcq,0.0848,0.693,0.681,0.0,0.0768,-7.039,0.025,100.02,0.663,71
87,Red (Taylor's Version),10,0y6kdSRCVQhSsHSpWvTUm7,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),spotify:track:0y6kdSRCVQhSsHSpWvTUm7,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,0.155,74
88,Red (Taylor's Version),11,7J4b3LVCIGO4CMBDFLPoP6,Holy Ground (Taylor's Version),spotify:track:7J4b3LVCIGO4CMBDFLPoP6,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,71
89,Red (Taylor's Version),12,73qMN9bXy7MSPwwGfH3wQr,Sad Beautiful Tragic (Taylor's Version),spotify:track:73qMN9bXy7MSPwwGfH3wQr,0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,0.232,72
90,Red (Taylor's Version),13,4e5ayHsOLJNLTGfjau2mEw,The Lucky One (Taylor's Version),spotify:track:4e5ayHsOLJNLTGfjau2mEw,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,0.538,70
91,Red (Taylor's Version),14,7qEUFOVcxRI19tbT68JcYK,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),spotify:track:7qEUFOVcxRI19tbT68JcYK,0.271,0.498,0.61,0.0,0.223,-5.098,0.0363,79.918,0.474,76
92,Red (Taylor's Version),15,7A2cNLRT0YJc1yjxHlKihs,Starlight (Taylor's Version),spotify:track:7A2cNLRT0YJc1yjxHlKihs,0.00324,0.628,0.685,0.0,0.18,-5.864,0.0358,126.014,0.605,70
93,Red (Taylor's Version),16,05GsNucq8Bngd9fnd4fRa0,Begin Again (Taylor's Version),spotify:track:05GsNucq8Bngd9fnd4fRa0,0.075,0.519,0.527,0.0,0.132,-7.673,0.0274,78.915,0.267,73
94,Red (Taylor's Version),17,0NRHj8hDwwmSPaA41o379r,The Moment I Knew (Taylor's Version),spotify:track:0NRHj8hDwwmSPaA41o379r,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,0.208,70
95,Red (Taylor's Version),18,4pNApnaUWAL2J4KO2eqokq,Come Back...Be Here (Taylor's Version),spotify:track:4pNApnaUWAL2J4KO2eqokq,0.0158,0.46,0.632,0.0,0.0822,-6.031,0.0302,79.846,0.399,73
96,Red (Taylor's Version),19,0DMVrlMUn01M0IcpDbwgu7,Girl At Home (Taylor's Version),spotify:track:0DMVrlMUn01M0IcpDbwgu7,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,0.612,68
97,Red (Taylor's Version),20,5jAIouBES8LWMiriuNq170,State Of Grace (Acoustic Version) (Taylor's Version),spotify:track:5jAIouBES8LWMiriuNq170,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,0.101,67
98,Red (Taylor's Version),21,7nWui6jiMM2m9qFmET1Mtj,Ronan (Taylor's Version),spotify:track:7nWui6jiMM2m9qFmET1Mtj,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,0.38,65
99,Red (Taylor's Version),22,4OmFmE0fzcMG6g0Y8p4eSD,Better Man (Taylor's Version) (From The Vault),spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,0.214,0.473,0.579,0.0,0.0877,-5.824,0.0384,73.942,0.255,73
100,Red (Taylor's Version),23,01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),spotify:track:01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,101.96,0.446,77
101,Red (Taylor's Version),24,0v4z1tuZvn6LGknom9Qx7d,Babe (Taylor's Version) (From The Vault),spotify:track:0v4z1tuZvn6LGknom9Qx7d,0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,0.746,74
102,Red (Taylor's Version),25,3z6XUommYDWPHeFhmhhT6j,Message In A Bottle (Taylor's Version) (From The Vault),spotify:track:3z6XUommYDWPHeFhmhhT6j,0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,0.494,74
103,Red (Taylor's Version),26,4CkgMiMqZ5JzW9iYXSTMTL,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0.167,0.391,0.715,0.0,0.183,-4.516,0.0495,149.654,0.473,77
104,Red (Taylor's Version),27,3oGVx9RBmiYGv5ZCecWLkx,Forever Winter (Taylor's Version) (From The Vault),spotify:track:3oGVx9RBmiYGv5ZCecWLkx,0.256,0.611,0.552,0.0,0.134,-5.828,0.031,116.012,0.41,70
105,Red (Taylor's Version),28,4IQkfUsrwXol38VV3U7t7T,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),spotify:track:4IQkfUsrwXol38VV3U7t7T,0.817,0.61,0.488,0.0,0.312,-6.918,0.0293,125.039,0.443,72
106,Red (Taylor's Version),29,6pYNq0ZwpPVazKzsqpf0G8,The Very First Night (Taylor's Version) (From The Vault),spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.00115,0.678,0.733,0.0,0.104,-5.025,0.0281,121.009,0.581,76
107,Red (Taylor's Version),30,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,87
108,Fearless (Taylor's Version),1,77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),spotify:track:77sMIMlNaSURUAXq5coCxE,0.0122,0.569,0.741,0.0,0.333,-4.963,0.0282,100.118,0.43,85
109,Fearless (Taylor's Version),2,2nqio0SfWg6gh2eCtfuMa5,Fifteen (Taylor’s Version),spotify:track:2nqio0SfWg6gh2eCtfuMa5,0.116,0.559,0.646,0.0,0.32,-4.61,0.0272,95.466,0.289,73
110,Fearless (Taylor's Version),3,6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),spotify:track:6YvqWjhGD8mB5QXcbcUKtx,0.13,0.627,0.792,3.97e-06,0.0845,-4.311,0.031,119.054,0.415,82
111,Fearless (Taylor's Version),4,550erGcdD9n6PnwxrvYqZT,Hey Stephen (Taylor’s Version),spotify:track:550erGcdD9n6PnwxrvYqZT,0.106,0.788,0.571,0.0,0.0934,-6.135,0.0296,115.99,0.797,71
112,Fearless (Taylor's Version),5,5YL553x8sHderRBDlm3NM3,White Horse (Taylor’s Version),spotify:track:5YL553x8sHderRBDlm3NM3,0.369,0.423,0.517,0.0,0.177,-7.377,0.0486,185.262,0.366,72
113,Fearless (Taylor's Version),6,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),spotify:track:1qrpoAMXodY6895hGKoUpA,0.0623,0.632,0.773,0.0,0.0885,-4.856,0.0346,130.033,0.474,86
